Eastern Date Hour,Eastern Date Hour Time Zone,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
6/10/24 19:00,EDT,N.Y.C.,61761,31.57,3.13,0,1
6/10/24 20:00,EDT,N.Y.C.,61761,30.45,2.82,0,1
6/10/24 21:00,EDT,N.Y.C.,61761,26.41,2.18,0,1
6/10/24 22:00,EDT,N.Y.C.,61761,23.57,1.77,0,1
6/10/24 23:00,EDT,N.Y.C.,61761,22.04,1.42,0,1
6/11/24 0:00,EDT,N.Y.C.,61761,20.28,1.27,0,1
6/11/24 1:00,EDT,N.Y.C.,61761,18.8,1.06,0,1
6/11/24 2:00,EDT,N.Y.C.,61761,16.97,0.82,0,1
6/11/24 3:00,EDT,N.Y.C.,61761,16.37,0.78,0,1
6/11/24 4:00,EDT,N.Y.C.,61761,16.3,0.76,0,1
6/11/24 5:00,EDT,N.Y.C.,61761,17.97,0.86,0,1
6/11/24 6:00,EDT,N.Y.C.,61761,21.34,1.13,0,1
6/11/24 7:00,EDT,N.Y.C.,61761,22.34,1.38,0,1
6/11/24 8:00,EDT,N.Y.C.,61761,23.19,1.58,0,1
6/11/24 9:00,EDT,N.Y.C.,61761,21.29,1.37,0.03,1
6/11/24 10:00,EDT,N.Y.C.,61761,22.24,1.57,0.01,1
6/11/24 11:00,EDT,N.Y.C.,61761,22.2,1.61,0.01,1
6/11/24 12:00,EDT,N.Y.C.,61761,22.99,1.84,0,1
6/11/24 13:00,EDT,N.Y.C.,61761,23.48,1.96,0,1
6/11/24 14:00,EDT,N.Y.C.,61761,23.71,2.04,0,1
6/11/24 15:00,EDT,N.Y.C.,61761,24.22,2.04,0,1
6/11/24 16:00,EDT,N.Y.C.,61761,27.35,2.53,0,1
6/11/24 17:00,EDT,N.Y.C.,61761,31,2.84,0,1
6/11/24 18:00,EDT,N.Y.C.,61761,32.37,3.05,0,1
6/11/24 19:00,EDT,N.Y.C.,61761,32.47,2.95,0,1
6/11/24 20:00,EDT,N.Y.C.,61761,31.63,2.61,0,1
6/11/24 21:00,EDT,N.Y.C.,61761,27.83,2.06,0,1
6/11/24 22:00,EDT,N.Y.C.,61761,24.64,1.55,0,1
6/11/24 23:00,EDT,N.Y.C.,61761,22.3,1.3,0,1
6/12/24 0:00,EDT,N.Y.C.,61761,20.9,1.51,-0.24,1
6/12/24 1:00,EDT,N.Y.C.,61761,18.26,1.26,-0.39,1
6/12/24 2:00,EDT,N.Y.C.,61761,17.17,1.13,-0.19,1
6/12/24 3:00,EDT,N.Y.C.,61761,16.22,1.08,-0.11,1
6/12/24 4:00,EDT,N.Y.C.,61761,16.2,1.07,-0.01,1
6/12/24 5:00,EDT,N.Y.C.,61761,18.2,1.19,0,1
6/12/24 6:00,EDT,N.Y.C.,61761,21.52,1.37,-0.24,1
6/12/24 7:00,EDT,N.Y.C.,61761,23.51,1.66,0,1
6/12/24 8:00,EDT,N.Y.C.,61761,23.37,1.69,0,1
6/12/24 9:00,EDT,N.Y.C.,61761,23.23,1.88,0,1
6/12/24 10:00,EDT,N.Y.C.,61761,23.41,1.91,0,1
6/12/24 11:00,EDT,N.Y.C.,61761,23.52,2.02,0,1
6/12/24 12:00,EDT,N.Y.C.,61761,24.25,2.17,-0.32,1
6/12/24 13:00,EDT,N.Y.C.,61761,24.99,2.28,-0.38,1
6/12/24 14:00,EDT,N.Y.C.,61761,26.28,2.44,-0.36,1
6/12/24 15:00,EDT,N.Y.C.,61761,28.66,2.68,-1.44,1
6/12/24 16:00,EDT,N.Y.C.,61761,32.09,2.81,-3.46,1
6/12/24 17:00,EDT,N.Y.C.,61761,38,3.58,-3.57,1
6/12/24 18:00,EDT,N.Y.C.,61761,38.38,3.8,-1.81,1
6/12/24 19:00,EDT,N.Y.C.,61761,37.13,3.77,-0.31,1
6/12/24 20:00,EDT,N.Y.C.,61761,34.12,3.43,-0.05,1
6/12/24 21:00,EDT,N.Y.C.,61761,30.2,2.72,0,1
6/12/24 22:00,EDT,N.Y.C.,61761,26.9,2.36,0,1
6/12/24 23:00,EDT,N.Y.C.,61761,24.09,1.91,0,1
6/13/24 0:00,EDT,N.Y.C.,61761,22.73,1.86,0,1
6/13/24 1:00,EDT,N.Y.C.,61761,20.05,1.53,-0.07,1
6/13/24 2:00,EDT,N.Y.C.,61761,18.47,1.47,-0.24,1
6/13/24 3:00,EDT,N.Y.C.,61761,17.46,1.28,-0.31,1
6/13/24 4:00,EDT,N.Y.C.,61761,17.88,1.34,-0.25,1
6/13/24 5:00,EDT,N.Y.C.,61761,19.19,1.42,-0.27,1
6/13/24 6:00,EDT,N.Y.C.,61761,22.01,1.63,0,1
6/13/24 7:00,EDT,N.Y.C.,61761,23.86,1.95,0,1
6/13/24 8:00,EDT,N.Y.C.,61761,24.8,2.23,0,1
6/13/24 9:00,EDT,N.Y.C.,61761,25.03,2.39,-0.04,1
6/13/24 10:00,EDT,N.Y.C.,61761,27.27,2.63,-0.32,1
6/13/24 11:00,EDT,N.Y.C.,61761,28.74,2.69,-1.56,1
6/13/24 12:00,EDT,N.Y.C.,61761,31.09,2.76,-3.26,1
6/13/24 13:00,EDT,N.Y.C.,61761,35.14,2.88,-5.58,1
6/13/24 14:00,EDT,N.Y.C.,61761,35.32,3.04,-4.63,1
6/13/24 15:00,EDT,N.Y.C.,61761,36.81,3.25,-3.71,1
6/13/24 16:00,EDT,N.Y.C.,61761,41.01,4.22,-0.38,1
6/13/24 17:00,EDT,N.Y.C.,61761,43.63,4.54,0.09,1
6/13/24 18:00,EDT,N.Y.C.,61761,44.26,4.33,0.14,1
6/13/24 19:00,EDT,N.Y.C.,61761,42.25,3.99,0.1,1
6/13/24 20:00,EDT,N.Y.C.,61761,40.25,3.45,-1.58,1
6/13/24 21:00,EDT,N.Y.C.,61761,35.11,3.13,0,1
6/13/24 22:00,EDT,N.Y.C.,61761,30.53,2.75,0,1
6/13/24 23:00,EDT,N.Y.C.,61761,27.18,2.31,0,1
6/14/24 0:00,EDT,N.Y.C.,61761,26.49,2.03,0,1
6/14/24 1:00,EDT,N.Y.C.,61761,24.24,1.82,0,1
6/14/24 2:00,EDT,N.Y.C.,61761,22.25,1.61,0,1
6/14/24 3:00,EDT,N.Y.C.,61761,20.11,1.46,0,1
6/14/24 4:00,EDT,N.Y.C.,61761,20.87,1.53,0,1
6/14/24 5:00,EDT,N.Y.C.,61761,22.57,1.44,0,1
6/14/24 6:00,EDT,N.Y.C.,61761,25.55,1.56,0,1
6/14/24 7:00,EDT,N.Y.C.,61761,26.52,2.01,0,1
6/14/24 8:00,EDT,N.Y.C.,61761,27.89,2.3,0,1
6/14/24 9:00,EDT,N.Y.C.,61761,32.21,2.52,-3.18,1
6/14/24 10:00,EDT,N.Y.C.,61761,35.52,2.87,-3.96,1
6/14/24 11:00,EDT,N.Y.C.,61761,38.84,3.17,-4.01,1
6/14/24 12:00,EDT,N.Y.C.,61761,40.64,3.59,-3.48,1
6/14/24 13:00,EDT,N.Y.C.,61761,42.25,3.88,-4.01,1
6/14/24 14:00,EDT,N.Y.C.,61761,43.16,3.91,-4.92,1
6/14/24 15:00,EDT,N.Y.C.,61761,49,3.82,-11.09,1
6/14/24 16:00,EDT,N.Y.C.,61761,57.76,4.29,-18.59,1
6/14/24 17:00,EDT,N.Y.C.,61761,53,4.65,-10.23,1
6/14/24 18:00,EDT,N.Y.C.,61761,43.14,4.46,-0.23,1
6/14/24 19:00,EDT,N.Y.C.,61761,41.96,4.34,-0.82,1
6/14/24 20:00,EDT,N.Y.C.,61761,38.18,3.58,-0.54,1
6/14/24 21:00,EDT,N.Y.C.,61761,37.45,3.2,-3.22,1
6/14/24 22:00,EDT,N.Y.C.,61761,33.59,2.88,-2.48,1
6/14/24 23:00,EDT,N.Y.C.,61761,28.84,2.43,0,1
6/15/24 0:00,EDT,N.Y.C.,61761,26.9,1.88,0,1
6/15/24 1:00,EDT,N.Y.C.,61761,23.98,1.61,0,1
6/15/24 2:00,EDT,N.Y.C.,61761,22.29,1.46,0,1
6/15/24 3:00,EDT,N.Y.C.,61761,20.81,1.38,0,1
6/15/24 4:00,EDT,N.Y.C.,61761,20.26,1.34,0,1
6/15/24 5:00,EDT,N.Y.C.,61761,21.58,1.34,0,1
6/15/24 6:00,EDT,N.Y.C.,61761,22.31,1.4,0,1
6/15/24 7:00,EDT,N.Y.C.,61761,22.04,1.38,0,1
6/15/24 8:00,EDT,N.Y.C.,61761,23.45,1.66,0,1
6/15/24 9:00,EDT,N.Y.C.,61761,23.23,1.7,0,1
